[INIT] EECBS_MAKESPAN: 22, SOC(A*): 118, MS(A*): 22, Hungarian time: 0.2693
[58_Solution] EECBS_MAKESPAN: 20, SOC(A*): 136, MS(A*): 20, TIMECOST: 0.1398
[59_Solution] EECBS_MAKESPAN: 20, SOC(A*): 124, MS(A*): 20, TIMECOST: 0.1227
[60_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.1360
[61_Solution] EECBS_MAKESPAN: 20, SOC(A*): 131, MS(A*): 20, TIMECOST: 0.1422
[62_Solution] EECBS_MAKESPAN: 20, SOC(A*): 134, MS(A*): 20, TIMECOST: 0.1386
[63_Solution] EECBS_MAKESPAN: 20, SOC(A*): 134, MS(A*): 20, TIMECOST: 0.1415
[64_Solution] EECBS_MAKESPAN: 20, SOC(A*): 127, MS(A*): 20, TIMECOST: 0.1410
[65_Solution] EECBS_MAKESPAN: 20, SOC(A*): 136, MS(A*): 20, TIMECOST: 0.1402
[66_Solution] EECBS_MAKESPAN: 20, SOC(A*): 142, MS(A*): 20, TIMECOST: 0.1221
[67_Solution] EECBS_MAKESPAN: 20, SOC(A*): 129, MS(A*): 20, TIMECOST: 0.1429
[68_Solution] EECBS_MAKESPAN: 20, SOC(A*): 129, MS(A*): 20, TIMECOST: 0.1399
[69_Solution] EECBS_MAKESPAN: 20, SOC(A*): 129, MS(A*): 20, TIMECOST: 0.1143
[70_Solution] EECBS_MAKESPAN: 20, SOC(A*): 129, MS(A*): 20, TIMECOST: 0.0985
[71_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.1148
[72_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.0822
[73_Solution] EECBS_MAKESPAN: 20, SOC(A*): 129, MS(A*): 20, TIMECOST: 0.0997
[74_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0806
[75_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0812
[76_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0994
[77_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0837
[78_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.0997
[79_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0833
[80_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0815
[81_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.0996
[82_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.1146
[83_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.0992
[84_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0817
[85_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0989
[86_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0813
[87_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0832
[88_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.0834
[89_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0813
[90_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.0994
[91_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0992
[92_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.0819
[93_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.1144
[94_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.0815
[95_Solution] EECBS_MAKESPAN: 20, SOC(A*): 129, MS(A*): 20, TIMECOST: 0.1141
[96_Solution] EECBS_MAKESPAN: 20, SOC(A*): 129, MS(A*): 20, TIMECOST: 0.0803
[97_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.0997
[98_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.1150
[99_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0814
[100_Solution] EECBS_MAKESPAN: 20, SOC(A*): 129, MS(A*): 20, TIMECOST: 0.0805
[101_Solution] EECBS_MAKESPAN: 20, SOC(A*): 129, MS(A*): 20, TIMECOST: 0.0809
[102_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.1142
[103_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.0834
[104_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.1151
[105_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0997
[106_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0812
[107_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0813
[108_Solution] EECBS_MAKESPAN: 20, SOC(A*): 129, MS(A*): 20, TIMECOST: 0.0818
[109_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.0991
[110_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0997
[111_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0995
[112_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.1148
[113_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.0995
[114_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.0844
[115_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.1149
[116_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0810
[117_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0809
[118_Solution] EECBS_MAKESPAN: 20, SOC(A*): 129, MS(A*): 20, TIMECOST: 0.0804
[119_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0805
[120_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.1109
[121_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0796
[122_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.0812
[123_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.0814
[124_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.1129
[125_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.0795
[126_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.0802
[127_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0796
[128_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.0802
[129_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0814
[130_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.1121
[131_Solution] EECBS_MAKESPAN: 20, SOC(A*): 129, MS(A*): 20, TIMECOST: 0.0786
[132_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0854
[133_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0791
[134_Solution] EECBS_MAKESPAN: 20, SOC(A*): 129, MS(A*): 20, TIMECOST: 0.0778
[135_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0962
[136_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0786
[137_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.1029
[138_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0787
[139_Solution] EECBS_MAKESPAN: 20, SOC(A*): 129, MS(A*): 20, TIMECOST: 0.0785
[140_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.1124
[141_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.0826
[142_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.0819
[143_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0974
[144_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0779
[145_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0777
[146_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0967
[147_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0782
[148_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0796
[149_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.1036
[150_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0781
[151_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0782
[152_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0774
[153_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0795
[154_Solution] EECBS_MAKESPAN: 20, SOC(A*): 129, MS(A*): 20, TIMECOST: 0.0780
[155_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0777
[156_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0971
[157_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0976
[158_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0787
[159_Solution] EECBS_MAKESPAN: 20, SOC(A*): 129, MS(A*): 20, TIMECOST: 0.0967
[160_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0781
[161_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.1059
[162_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0988
[163_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.1033
[164_Solution] EECBS_MAKESPAN: 20, SOC(A*): 129, MS(A*): 20, TIMECOST: 0.0789
[165_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0968
[166_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0784
[167_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0965
[168_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0787
[169_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.0962
[170_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0561
[171_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0567
