  0%|                                                                                                                                                                  | 0/20 [00:00<?, ?it/s]
a : [20 25], t : [[4, 30]]

a : [28 18], t : [[15, 6]]

a : [ 6 22], t : [[21, 5]]

a : [28  4], t : [[30, 4]]

a : [24  9], t : [[12, 0]]

a : [24 24], t : [[21, 23]]

a : [17 25], t : [[2, 25]]

a : [16 30], t : [[13, 30]]

a : [14  4], t : [[25, 9]]

a : [ 3 13], t : [[3, 8]]

a : [ 8 30], t : [[6, 21]]

a : [20 14], t : [[3, 11]]

a : [17 23], t : [[15, 13]]

a : [22  1], t : [[2, 28]]

a : [26 14], t : [[26, 13]]

a : [20 27], t : [[19, 27]]

a : [12  9], t : [[3, 0]]

a : [16 13], t : [[7, 2]]

a : [18 15], t : [[18, 17]]

a : [8 9], t : [[8, 11]]

a : [19 25], t : [[28, 15]]

a : [27 18], t : [[20, 6]]

a : [ 6 21], t : [[24, 22]]

a : [29  4], t : [[30, 4]]

a : [23  9], t : [[25, 9]]

a : [24 23], t : [[21, 23]]

a : [17 26], t : [[23, 2]]

a : [15 30], t : [[13, 30]]

a : [14  5], t : [[21, 5]]

a : [ 3 12], t : [[3, 8]]

a : [ 8 29], t : [[5, 24]]

a : [19 14], t : [[23, 23]]

a : [16 23], t : [[29, 22]]

a : [21  1], t : [[8, 9]]

a : [26 13], t : [[6, 21]]

a : [19 27], t : [[4, 28]]

a : [11  9], t : [[15, 13]]

a : [16 12], t : [[15, 6]]

a : [18 16], t : [[18, 17]]

a : [ 8 10], t : [[8, 11]]

a : [19 24], t : [[29, 22]]

a : [26 18], t : [[2, 5]]

a : [ 6 22], t : [[8, 9]]

a : [30  4], t : [[3, 11]]

a : [24  9], t : [[25, 9]]

a : [23 23], t : [[21, 23]]

a : [17 25], t : [[20, 6]]

a : [14 30], t : [[13, 30]]

a : [15  5], t : [[21, 5]]

a : [ 3 11], t : [[3, 8]]

a : [ 7 29], t : [[5, 24]]

a : [19 15], t : [[24, 22]]

a : [16 22], t : [[3, 0]]

a : [21  2], t : [[4, 30]]

a : [26 14], t : [[7, 25]]

a : [18 27], t : [[14, 1]]

a : [12  9], t : [[15, 13]]

a : [15 12], t : [[15, 6]]

a : [18 17], t : [[8, 9]]

a : [ 8 11], t : [[2, 25]]

a : [20 24], t : [[23, 2]]

a : [26 17], t : [[8, 4]]

a : [ 6 21], t : [[7, 2]]

a : [30  5], t : [[4, 28]]

a : [25  9], t : [[3, 11]]

a : [22 23], t : [[21, 23]]

a : [17 24], t : [[3, 0]]

