[INIT] EECBS_MAKESPAN: 22, SOC(A*): 118, MS(A*): 22, Hungarian time: 0.4187
[58_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0725
[59_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0726
[60_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0728
[61_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0726
[62_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0730
[63_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0733
[64_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0732
[65_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0726
[66_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0727
[67_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0724
[68_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0722
[69_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0731
[70_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0736
[71_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0729
[72_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0730
[73_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0728
[74_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0728
[75_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0730
[76_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0727
[77_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0731
[78_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0724
[79_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0732
[80_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0733
[81_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0729
[82_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0725
[83_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0729
[84_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0738
[85_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0730
[86_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0736
[87_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0734
[88_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0743
[89_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0848
[90_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0846
[91_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0729
[92_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0737
[93_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0731
[94_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0738
[95_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0740
[96_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0734
[97_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0729
[98_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0726
[99_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0731
[100_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0193
[101_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0198
[102_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0196
[103_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0202
[104_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0202
[105_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0196
[106_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0199
[107_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0196
[108_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0202
[109_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0197
[110_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0199
[111_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0197
[112_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0195
[113_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0196
[114_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0196
[115_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0198
[116_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0198
[117_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0196
[118_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0196
[119_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0196
[120_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0198
[121_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0198
[122_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0196
[123_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0196
[124_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0194
[125_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0198
[126_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0198
[127_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0197
[128_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0197
[129_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0197
[130_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0198
[131_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0196
[132_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0196
[133_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0196
[134_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0199
