runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.000987,1,1,262,1119,207,207,207,207,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7.2e-05,2e-06,6e-06,0,0,0,0.000322,1e-06,4.5e-05,0.000124,0.000127,0.001933,WDG+R+C+T+BP with AStar,EECBS/20241218_1629.scen
0.000982,1,1,262,1119,207,207,207,207,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7.5e-05,3e-06,8e-06,0,0,0,0.000299,2e-06,4.4e-05,0.000131,0.000134,0.001891,WDG+R+C+T+BP with AStar,EECBS/20241218_1629.scen
0.000386,0,1,152,624,142,142,142,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.001897,WDG+R+C+T+BP with AStar,EECBS/20241218_1629.scen
0.00039,0,1,175,730,165,165,165,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.001871,WDG+R+C+T+BP with AStar,EECBS/20241218_1629.scen
0.000517,0,1,171,664,153,153,153,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7e-06,0,0,0,0,0,0,0,0,0.002792,WDG+R+C+T+BP with AStar,EECBS/20241218_1629.scen
0.000302,0,1,136,528,126,126,126,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001931,WDG+R+C+T+BP with AStar,EECBS/20241218_1629.scen
0.000744,2,3,183,743,114,114,112,114,1,1,0,0,0,1,0,0,0,1,1,0,2,0,2,0,0.000224,2e-06,8e-06,0,0,0,6.6e-05,1e-06,3.5e-05,0.00013,0.000136,0.001983,WDG+R+C+T+BP with AStar,EECBS/20241218_1629.scen
0.000357,0,1,159,667,149,149,149,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.001887,WDG+R+C+T+BP with AStar,EECBS/20241218_1629.scen
0.000372,0,1,164,693,154,154,154,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.001926,WDG+R+C+T+BP with AStar,EECBS/20241218_1629.scen
0.000449,0,1,145,577,135,135,135,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.002714,WDG+R+C+T+BP with AStar,EECBS/20241218_1629.scen
0.000319,0,1,147,591,133,133,133,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001902,WDG+R+C+T+BP with AStar,EECBS/20241218_1629.scen
0.000244,0,1,102,390,92,92,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001888,WDG+R+C+T+BP with AStar,EECBS/20241218_1629.scen
0.00025,0,1,111,434,101,101,101,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001884,WDG+R+C+T+BP with AStar,EECBS/20241218_1629.scen
