runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.00126,1,1,339,1442,239,239,239,239,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.000112,2e-06,8e-06,0,0,0,0.000392,2e-06,6e-05,0.00018,0.000185,0.001904,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000308,0,1,147,598,134,134,134,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001935,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000378,0,1,176,764,166,166,166,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.001939,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.00045,0,1,218,945,208,208,208,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001918,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.001412,1,1,322,1282,195,193,193,193,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.000311,2e-06,7e-06,0,0,0,0.000467,2e-06,3.8e-05,0.00019,0.000196,0.001859,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000358,0,1,168,711,158,158,158,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001897,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000579,0,1,199,828,189,189,189,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7e-06,0,0,0,0,0,0,0,0,0.00284,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000372,0,1,167,695,146,146,146,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001893,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000344,0,1,166,647,127,127,127,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.001874,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.001244,1,1,339,1442,239,239,239,239,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.00012,2e-06,8e-06,0,0,0,0.000378,1e-06,5.8e-05,0.000181,0.000187,0.001887,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000311,0,1,147,598,134,134,134,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001886,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000409,0,1,176,764,166,166,166,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001956,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000458,0,1,218,945,208,208,208,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001876,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.001413,1,1,322,1282,195,193,193,193,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.000312,2e-06,8e-06,0,0,0,0.000455,1e-06,3.9e-05,0.000191,0.000195,0.001905,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000364,0,1,168,711,158,158,158,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001869,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.00041,0,1,199,828,189,189,189,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.00189,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000358,0,1,167,695,146,146,146,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001965,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000329,0,1,166,647,127,127,127,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001895,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000325,0,1,149,630,137,137,137,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.001955,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000317,0,1,149,629,137,137,137,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001914,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000342,0,1,166,675,139,139,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001902,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000731,1,1,210,814,135,135,135,135,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.5e-05,1e-06,5e-06,0,0,0,0.000229,1e-06,3.5e-05,9.4e-05,9.8e-05,0.001988,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.00077,1,1,160,621,99,99,99,99,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.00027,2e-06,5e-06,0,0,0,0.000132,1e-06,2.6e-05,9.4e-05,9.7e-05,0.001913,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000505,1,1,130,486,80,80,80,80,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4.1e-05,2e-06,5e-06,0,0,0,0.000137,2e-06,3.5e-05,7.9e-05,8.3e-05,0.001934,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000199,0,1,64,207,54,54,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.001904,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000122,0,1,35,89,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.001916,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000104,0,1,29,57,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,0.001871,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000508,0,1,265,1109,231,230,230,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.001907,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000354,0,1,185,732,170,169,169,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.001931,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000568,1,1,191,807,142,141,141,141,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.1e-05,2e-06,6e-06,0,0,0,8.2e-05,1e-06,2.7e-05,6.4e-05,6.7e-05,0.001911,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.00042,0,1,206,870,194,194,194,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.001909,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000414,0,1,196,849,186,186,186,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001897,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000351,0,1,159,674,149,149,149,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.00188,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000302,0,1,137,573,127,127,127,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001886,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000335,0,1,156,629,146,146,146,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001928,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000362,1,1,130,510,113,113,113,113,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.2e-05,2e-06,5e-06,0,0,0,1.6e-05,1e-06,8e-06,1.9e-05,2.1e-05,0.001946,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000594,1,1,142,578,111,111,111,111,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000175,2e-06,5e-06,0,0,0,7.5e-05,1e-06,1.3e-05,4.4e-05,4.6e-05,0.001972,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000615,1,1,164,648,131,131,131,131,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000167,2e-06,7e-06,0,0,0,7.3e-05,0,3e-05,7e-05,7.3e-05,0.001933,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000486,1,1,132,530,104,104,104,104,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000122,2e-06,5e-06,0,0,0,2.9e-05,0,2.7e-05,5.3e-05,5.5e-05,0.001937,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000709,1,1,215,805,113,113,113,113,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000203,2e-06,5e-06,0,0,0,9.6e-05,0,1.5e-05,0.00013,0.000132,0.001892,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000484,1,3,155,598,109,109,107,109,0,1,0,0,0,1,0,0,0,1,1,0,1,0,2,0,0.000116,1e-06,6e-06,0,0,0,1.9e-05,1e-06,2.1e-05,7.8e-05,8.3e-05,0.001904,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000384,1,1,86,321,54,54,54,54,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3.7e-05,2e-06,4e-06,0,0,0,8.8e-05,1e-06,2.2e-05,5.6e-05,5.9e-05,0.001943,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000802,1,1,152,567,52,52,52,52,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.000226,2e-06,5e-06,0,0,0,0.000212,1e-06,3e-05,0.000156,0.000161,0.001912,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.00055,1,1,88,255,42,42,42,42,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.3e-05,2e-06,5e-06,0,0,0,0.000232,1e-06,3.9e-05,9.1e-05,9.4e-05,0.001912,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000104,0,1,26,54,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.001993,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000428,0,1,220,889,186,186,186,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001975,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000583,0,1,361,1286,175,174,174,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.001911,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.00034,0,1,163,685,153,153,153,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001908,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000801,1,1,354,1288,141,140,140,140,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5e-05,2e-06,5e-06,0,0,0,0.000113,1e-06,3.5e-05,0.000163,0.000167,0.001913,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.00025,0,1,112,434,102,102,102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001931,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000507,1,1,125,445,83,83,83,83,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4.7e-05,2e-06,4e-06,0,0,0,0.000145,1e-06,3e-05,7.7e-05,8e-05,0.001914,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000306,0,1,123,436,113,113,113,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.001916,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000552,1,1,153,593,97,97,97,97,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000167,2e-06,4e-06,0,0,0,5.3e-05,1e-06,1.3e-05,7.8e-05,8.1e-05,0.001932,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000299,0,1,140,563,130,130,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001916,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000282,0,1,130,492,120,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.001923,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
0.000568,1,1,159,638,117,117,117,117,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4.2e-05,2e-06,6e-06,0,0,0,0.000135,2e-06,3e-05,9e-05,9.4e-05,0.001896,WDG+R+C+T+BP with AStar,EECBS/20241218_1548.scen
