runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.001088,1,1,317,1352,264,264,264,264,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000269,2e-06,7e-06,2e-06,0,0,0.000166,0,2.5e-05,8e-05,8.3e-05,0.001918,WDG+R+C+T+BP with AStar,EECBS/20241218_1558.scen
0.001198,1,1,237,1036,198,198,198,198,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000305,2e-06,8e-06,0,0,0,0.000163,1e-06,3.3e-05,0.0001,0.000104,0.002689,WDG+R+C+T+BP with AStar,EECBS/20241218_1558.scen
0.000935,1,1,215,936,154,154,154,154,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.000221,2e-06,8e-06,0,0,0,0.000207,0,3.3e-05,0.000124,0.000129,0.001913,WDG+R+C+T+BP with AStar,EECBS/20241218_1558.scen
0.000647,1,1,194,822,153,153,153,153,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4.4e-05,2e-06,6e-06,0,0,0,0.000147,1e-06,3.5e-05,9e-05,9.4e-05,0.001925,WDG+R+C+T+BP with AStar,EECBS/20241218_1558.scen
0.0004,0,1,198,835,175,175,175,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.001872,WDG+R+C+T+BP with AStar,EECBS/20241218_1558.scen
0.000431,0,1,212,873,187,186,186,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.001874,WDG+R+C+T+BP with AStar,EECBS/20241218_1558.scen
0.000739,1,1,267,1129,225,225,225,225,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.00015,2e-06,6e-06,0,0,0,4.8e-05,1e-06,1.5e-05,5.5e-05,5.8e-05,0.001883,WDG+R+C+T+BP with AStar,EECBS/20241218_1558.scen
0.000763,1,1,267,1161,226,226,226,226,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000166,2e-06,7e-06,0,0,0,4.9e-05,0,1.7e-05,6.3e-05,6.7e-05,0.001915,WDG+R+C+T+BP with AStar,EECBS/20241218_1558.scen
0.000518,0,1,218,924,196,195,195,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.002025,WDG+R+C+T+BP with AStar,EECBS/20241218_1558.scen
0.000477,0,1,192,817,179,178,178,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-06,0,0,0,0,0,0,0,0,0.002009,WDG+R+C+T+BP with AStar,EECBS/20241218_1558.scen
0.001104,1,1,257,1120,192,192,192,192,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.000317,2e-06,9e-06,0,0,0,0.000199,0,3.8e-05,0.000132,0.000137,0.001912,WDG+R+C+T+BP with AStar,EECBS/20241218_1558.scen
0.000836,1,1,222,961,180,180,180,180,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.5e-05,3e-06,8e-06,0,0,0,0.000179,2e-06,3.6e-05,0.0001,0.000104,0.001999,WDG+R+C+T+BP with AStar,EECBS/20241218_1558.scen
0.000367,0,1,173,705,153,153,153,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001872,WDG+R+C+T+BP with AStar,EECBS/20241218_1558.scen
0.000225,0,1,94,343,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001998,WDG+R+C+T+BP with AStar,EECBS/20241218_1558.scen
0.000415,1,3,95,366,60,60,58,60,0,1,0,0,0,1,0,0,0,1,1,0,1,0,2,0,0.000109,2e-06,6e-06,0,0,0,2.9e-05,0,1.8e-05,6.2e-05,6.5e-05,0.001913,WDG+R+C+T+BP with AStar,EECBS/20241218_1558.scen
0.000708,1,1,142,515,85,85,85,85,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.3e-05,2e-06,5e-06,0,0,0,0.000307,1e-06,3.8e-05,0.000102,0.000106,0.00191,WDG+R+C+T+BP with AStar,EECBS/20241218_1558.scen
0.000283,0,1,121,410,92,92,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.001896,WDG+R+C+T+BP with AStar,EECBS/20241218_1558.scen
