runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.001122,1,1,317,1352,264,264,264,264,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000256,2e-06,7e-06,1e-06,0,0,0.000166,1e-06,2.5e-05,8e-05,8.3e-05,0.001945,WDG+R+C+T+BP with AStar,EECBS/20241218_1509.scen
0.001227,1,1,237,1036,198,198,198,198,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.00032,2e-06,9e-06,0,0,0,0.000163,1e-06,3.3e-05,0.000101,0.000105,0.002689,WDG+R+C+T+BP with AStar,EECBS/20241218_1509.scen
0.000962,1,1,215,936,154,154,154,154,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.00025,2e-06,6e-06,0,0,0,0.000206,0,3.2e-05,0.000122,0.000128,0.001937,WDG+R+C+T+BP with AStar,EECBS/20241218_1509.scen
0.000651,1,1,194,822,153,153,153,153,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4.3e-05,2e-06,5e-06,0,0,0,0.000151,1e-06,3.4e-05,8.8e-05,9.1e-05,0.001893,WDG+R+C+T+BP with AStar,EECBS/20241218_1509.scen
0.000418,0,1,198,835,175,175,175,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-06,0,0,0,0,0,0,0,0,0.001942,WDG+R+C+T+BP with AStar,EECBS/20241218_1509.scen
0.000454,0,1,212,873,187,186,186,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001911,WDG+R+C+T+BP with AStar,EECBS/20241218_1509.scen
0.00112,1,1,267,1129,225,225,225,225,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000238,2e-06,1.1e-05,0,0,0,7.3e-05,1e-06,2.2e-05,8.5e-05,8.9e-05,0.002916,WDG+R+C+T+BP with AStar,EECBS/20241218_1509.scen
0.000793,1,1,267,1161,226,226,226,226,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000169,1e-06,7e-06,0,0,0,4.9e-05,0,2.6e-05,7.4e-05,7.7e-05,0.001871,WDG+R+C+T+BP with AStar,EECBS/20241218_1509.scen
0.000466,0,1,218,924,196,195,195,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001919,WDG+R+C+T+BP with AStar,EECBS/20241218_1509.scen
0.000416,0,1,192,817,179,178,178,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.001873,WDG+R+C+T+BP with AStar,EECBS/20241218_1509.scen
