runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.001111,1,1,262,1119,207,207,207,207,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8.1e-05,2e-06,7e-06,0,0,0,0.000348,1e-06,4.6e-05,0.000137,0.00014,0.002007,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000343,0,1,152,624,142,142,142,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001905,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000439,0,1,175,730,165,165,165,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.001991,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000357,0,1,171,664,153,153,153,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001959,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.0003,0,1,136,528,126,126,126,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001923,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000836,2,3,183,743,114,114,112,114,1,1,0,0,0,1,0,0,0,1,1,0,2,0,2,0,0.000239,2e-06,8e-06,0,0,0,7.6e-05,2e-06,3.9e-05,0.000146,0.000156,0.001992,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000412,0,1,159,667,149,149,149,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.001984,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000384,0,1,164,693,154,154,154,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001873,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000375,0,1,145,577,135,135,135,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001979,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000322,0,1,147,591,133,133,133,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.0019,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000244,0,1,102,390,92,92,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001931,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000286,0,1,111,434,101,101,101,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001994,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000202,0,1,80,296,67,67,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.001937,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.00021,0,1,63,226,53,53,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.002022,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000216,0,1,69,237,59,59,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.002054,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000649,1,1,96,311,50,50,50,50,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.8e-05,3e-06,6e-06,0,0,0,0.000275,2e-06,4.6e-05,0.00011,0.000113,0.00199,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000106,0,1,25,51,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,0.001926,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000672,1,1,256,1115,232,232,232,232,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3.9e-05,2e-06,7e-06,0,0,0,4.9e-05,2e-06,1.5e-05,3.7e-05,4e-05,0.001926,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000476,0,1,195,839,185,185,185,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.002022,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000735,1,1,218,910,175,175,175,175,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.6e-05,2e-06,7e-06,0,0,0,0.000178,1e-06,3.4e-05,9.4e-05,9.8e-05,0.001874,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000359,0,1,144,567,132,132,132,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.002024,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000847,1,1,193,798,151,151,151,151,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000231,1e-06,6e-06,1e-06,0,0,0.000175,0,3.4e-05,8.3e-05,8.5e-05,0.001883,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000366,0,1,178,751,168,168,168,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.0019,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000788,1,1,243,1012,178,178,178,178,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0002,3e-06,6e-06,0,0,0,6.3e-05,0,1.6e-05,8.3e-05,8.6e-05,0.001877,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000762,1,1,207,871,170,169,168,169,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000217,2e-06,5e-06,3e-06,0,0,0.000108,0,1.6e-05,5.8e-05,6e-05,0.001944,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000377,0,1,188,797,178,178,178,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.001912,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000465,0,1,238,999,214,214,214,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.001964,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000411,0,1,200,847,190,190,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001996,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000564,1,1,200,862,167,167,167,167,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3.9e-05,2e-06,6e-06,0,0,0,4.9e-05,2e-06,3e-05,7.4e-05,7.8e-05,0.001926,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000196,0,1,68,257,58,58,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.001935,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000186,0,1,66,224,56,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001915,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000628,1,1,150,485,59,59,57,59,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000241,2e-06,5e-06,0,0,0,5.2e-05,1e-06,1e-05,0.00013,0.000133,0.001907,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000625,1,1,119,330,38,38,36,38,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000255,3e-06,5e-06,0,0,0,5.6e-05,1e-06,9e-06,0.000117,0.000121,0.002024,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000131,0,1,42,110,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.001929,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000124,0,1,45,94,35,35,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.001975,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000591,0,1,242,1032,232,232,232,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.002077,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.00083,1,1,253,1049,190,190,190,190,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000228,1e-06,6e-06,0,0,0,8.1e-05,0,1.6e-05,9.1e-05,9.4e-05,0.001916,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000503,1,3,172,691,139,139,137,139,0,1,0,0,0,1,0,0,0,1,1,0,1,0,2,0,9.4e-05,2e-06,6e-06,0,0,0,1.8e-05,0,2.2e-05,6e-05,6.4e-05,0.00192,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000359,0,1,141,594,131,131,131,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.002016,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.000324,0,1,132,536,119,119,119,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.002005,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
0.001008,1,1,220,931,173,173,173,173,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000292,2e-06,6e-06,0,0,0,0.000188,0,5.3e-05,0.000123,0.000125,0.001872,WDG+R+C+T+BP with AStar,EECBS/20241218_1936.scen
