runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.001239,1,1,339,1442,239,239,239,239,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.000116,2e-06,8e-06,0,0,0,0.000376,1e-06,5.5e-05,0.000175,0.000182,0.00191,WDG+R+C+T+BP with AStar,EECBS/20241218_1544.scen
0.00036,0,1,147,598,134,134,134,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001989,WDG+R+C+T+BP with AStar,EECBS/20241218_1544.scen
0.000385,0,1,176,764,166,166,166,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001933,WDG+R+C+T+BP with AStar,EECBS/20241218_1544.scen
0.000485,0,1,218,945,208,208,208,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-06,0,0,0,0,0,0,0,0,0.001879,WDG+R+C+T+BP with AStar,EECBS/20241218_1544.scen
0.001432,1,1,322,1282,195,193,193,193,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.000318,2e-06,8e-06,0,0,0,0.000465,0,4e-05,0.000191,0.000197,0.001887,WDG+R+C+T+BP with AStar,EECBS/20241218_1544.scen
0.000355,0,1,168,711,158,158,158,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.001941,WDG+R+C+T+BP with AStar,EECBS/20241218_1544.scen
0.000417,0,1,199,828,189,189,189,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.001971,WDG+R+C+T+BP with AStar,EECBS/20241218_1544.scen
0.000363,0,1,167,695,146,146,146,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.002145,WDG+R+C+T+BP with AStar,EECBS/20241218_1544.scen
0.000397,0,1,166,647,127,127,127,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.001983,WDG+R+C+T+BP with AStar,EECBS/20241218_1544.scen
0.000342,0,1,149,630,137,137,137,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.0019,WDG+R+C+T+BP with AStar,EECBS/20241218_1544.scen
0.000321,0,1,149,629,137,137,137,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001891,WDG+R+C+T+BP with AStar,EECBS/20241218_1544.scen
0.000349,0,1,166,675,139,139,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001897,WDG+R+C+T+BP with AStar,EECBS/20241218_1544.scen
