[INIT] EECBS_MAKESPAN: 22, SOC(A*): 118, MS(A*): 22, Hungarian time: 0.2722
[58_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0555
[59_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0552
[60_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0551
[61_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0556
[62_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0559
[63_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0553
[64_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0554
[65_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0556
[66_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0557
[67_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0555
[68_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0554
[69_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0551
[70_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0559
[71_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0560
[72_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0558
[73_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0557
[74_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0560
[75_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0556
[76_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0554
[77_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0557
[78_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0554
[79_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0553
[80_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0534
[81_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0544
[82_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0540
[83_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0548
[84_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0548
[85_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0541
[86_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0546
[87_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0543
[88_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0540
[89_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0543
[90_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0548
[91_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0542
[92_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0549
[93_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0541
[94_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0541
[95_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0547
[96_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0548
[97_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0540
[98_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0546
[99_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0549
[100_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0540
[101_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0540
[102_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0545
[103_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0543
[104_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0540
[105_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0542
[106_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0544
[107_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0540
[108_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0545
[109_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0541
[110_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0544
[111_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0541
[112_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0541
[113_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0541
[114_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0547
[115_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0547
[116_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0527
